time,p,v,a,tau,force
0.69166667,0,70.75864875,1.234971395,122.45345,2.137215882
0.7,0,71.71835406,1.251721412,122.9233953,2.145417976
0.70833333,0,72.66006045,1.26815729,124.0366611,2.164848129
0.71666667,0,73.58300983,1.284265795,124.5302919,2.173463611
0.725,0,74.48642151,1.300033303,125.8323106,2.196188126
0.73333333,0,75.36950928,1.315446093,126.1516723,2.201762039
0.74166667,0,76.23150702,1.330490791,127.381182,2.223221031
0.75,0,77.07169562,1.345154849,128.0174094,2.234325295
0.75833333,0,77.88942823,1.359426975,128.669745,2.245710698
0.76666667,0,78.68415149,1.373297513,129.5050296,2.260289165
0.775,0,79.45542034,1.386758693,129.9645442,2.268309207
0.78333333,0,80.20290345,1.399804735,131.0996252,2.288120108
0.79166667,0,80.92637757,1.41243174,131.4951319,2.295023001
0.8,0,81.62570894,1.424637375,132.213718,2.307564695
0.80833333,0,82.30082252,1.43642033,132.4454534,2.311609241
0.81666667,0,82.95165954,1.447779579,133.9852798,2.338484282
0.825,0,83.57812722,1.458713503,134.4747233,2.347026683
0.83333333,0,84.18004462,1.469218943,134.0668786,2.339908449
0.84166667,0,84.75709092,1.479290301,135.4957137,2.364846326
0.85,0,85.31019088,1.488943716,135.7204679,2.368769027
0.85833333,0,85.83566423,1.498114956,136.5717414,2.383626553
0.86666667,0,86.33409957,1.506814294,137.563518,2.40093632
0.875,0,86.80436866,1.515022038,137.9706997,2.40804298
0.88333333,0,87.24519349,1.522715883,138.5632443,2.418384836
0.89166667,0,87.65522203,1.529872231,137.7223793,2.403708972
0.9,0,88.03313282,1.536468019,138.8122204,2.422730288
0.90833333,0,88.37776134,1.542482921,137.7044457,2.403395972
0.91666667,0,88.68824068,1.547901808,140.29879,2.448675823
0.925,0,88.96414621,1.552717268,140.5548665,2.4531452
0.93333333,0,89.2056338,1.556932021,141.1142412,2.46290813
0.94166667,0,89.4135595,1.560561009,141.5620881,2.470724534
0.95,0,89.58957023,1.563632976,141.9544059,2.477571771
0.95833333,0,89.73615585,1.566191378,142.1539101,2.481053776
0.96666667,0,89.8566562,1.568294506,142.2448519,2.482641009
0.975,0,89.95521895,1.57001475,142.3863459,2.485110545
0.98333333,0,90.03670904,1.57143702,143.1478101,2.498400603
0.99166667,0,90.10657304,1.572656377,143.405183,2.502892607
1,0,90.17066638,1.573775017,142.3972535,2.48530092
,,,,141.6405278,2.472093565
,,,,143.6635691,2.507402296
,,,,144.455983,2.521232528
,,,,143.868095,2.510971946
,,,,144.8566008,2.528224627
,,,,145.1463836,2.533282292
